theta_id,reward_base,activity_scale,enhance_cost_base,enhance_growth,enhance_success_scale,level_cost_base,drop_D,drop_C,drop_B,drop_A,synth_cost_scale,synth_success_scale,effect_scale,spend_low,spend_mid,spend_high,spend_whale,d60_reach_d5,d60_reach_d10,d60_reach_d15,d60_reach_d20,d60_has_B,d60_has_A,d60_has_S,d60_p50,d60_p90,d60_p99,d60_p99_p50,d60_mean_bonus,d60_p99_bonus,d60_sink,d60_inflow,d60_refund,d60_sink_ratio,d60_drop7,d60_spare_total
6828,1015.6672,1.0427524,754.7125,1.6168387,1.051564,443.20047,0.033177763,0.00451325,0.0031829372,0.000624541,1.2789655,0.9535295,0.95651925,0.2343995,0.43485498,0.46363187,0.81682396,0.32420367,0.00096525095,0.0,0.0,0.27135617,0.052606173,0.0,5533.008,18624.113,52274.266,9.447712,0.018776782,0.16927454,81079630.0,94425200.0,31.25,0.8586649,0.31382722,946.6875
6829,574.0697,1.4249744,308.19345,1.2610093,0.9107773,176.70332,0.012830118,0.013935914,0.0022004058,0.00035410724,0.7544579,1.182332,1.226607,0.14581287,0.27351612,0.6392509,0.6266623,0.77738905,0.17326255,0.0047055986,0.00012065637,0.2925917,0.041264478,0.0,4159.084,14915.393,45917.22,11.040224,0.024243645,0.18498608,69484550.0,74699390.0,93.75,0.9301878,0.30176157,1097.1875
6830,677.821,0.75156057,592.8016,1.4972835,0.77349544,238.34036,0.04857055,0.0108132735,0.000667842,8.967082e-05,1.1082299,1.0223906,0.7534868,0.17802693,0.21103184,0.4198848,0.6508081,0.18713802,0.0031370656,0.0,0.0,0.05815637,0.0055501927,0.0,3666.712,11094.09,30723.027,8.378904,0.014640216,0.09236218,46726980.0,44576384.0,31.25,1.0482445,0.32673743,1005.25
6831,1130.3667,1.1817927,536.4191,1.4088545,1.1958618,332.3581,0.027589917,0.008234266,0.00296293,0.0005608084,1.6737316,0.8712875,1.0321705,0.09595598,0.3702603,0.6954972,0.8926778,0.66952217,0.032335907,0.0003619691,0.0,0.28281856,0.052485522,0.0,5990.4043,22886.379,67840.59,11.324878,0.022458436,0.18775812,99227280.0,120108810.0,562.5,0.82614106,0.33120173,1094.75
6832,1146.3639,0.7868718,697.651,1.6664505,0.94815135,187.00732,0.010421981,0.010970661,0.0024378148,0.00010243118,1.6507616,0.9764819,0.8854386,0.11584832,0.23919797,0.4989503,0.9293335,0.16662645,0.0019305019,0.0,0.0,0.14671814,0.0067567565,0.0,5986.232,25032.805,84580.734,14.129211,0.014041297,0.13802062,54988624.0,79549140.0,31.25,0.6912533,0.1570946,411.625
6833,707.5005,1.1550679,377.09564,1.3521342,0.97544944,454.78625,0.030777557,0.007643298,0.0012365342,0.0005720896,1.1326609,1.1378999,1.1558151,0.20642455,0.33310175,0.62336224,0.71417105,0.781612,0.06889479,0.00060328183,0.0,0.16976352,0.05224421,0.0,4259.1377,14442.978,40946.457,9.6137905,0.018246066,0.16425116,68891070.0,73192320.0,125.0,0.94123197,0.3285473,1055.125
6834,549.1791,1.0191052,656.7117,1.5610538,1.126902,344.10138,0.025037117,0.005105867,0.0014539779,0.00068413804,0.73057485,1.0326437,0.8242118,0.13239774,0.40457922,0.44270387,0.58831763,0.22972974,0.0043436293,0.0,0.0,0.16735038,0.055260617,0.0,3912.5195,13769.228,43312.266,11.070172,0.0145912375,0.16079915,46022256.0,49267510.0,0.0,0.9341299,0.24939671,715.9375
6835,998.9907,1.4384611,476.2929,1.429351,0.81780475,248.46005,0.046009816,0.013776878,0.003967815,0.0004122137,1.3013856,0.82392144,1.1031837,0.21114577,0.31278384,0.66710943,0.75518656,0.6528716,0.0060328185,0.0,0.0,0.4043195,0.04753861,0.0,5141.54,16096.045,37615.68,7.3160334,0.031662412,0.19528547,125053380.0,132094750.0,7968.75,0.9466374,0.5030165,2057.3125
6836,871.0326,0.97987366,323.61377,1.3775425,0.80196816,217.15915,0.020184886,0.0039611957,0.002122982,0.0004758786,0.60920584,0.7848029,0.71323484,0.1747265,0.26767275,0.7193803,0.8398173,0.6747104,0.08699325,0.003257722,0.0,0.18279439,0.039454635,0.0,4584.793,18651.201,63588.53,13.869445,0.015670693,0.17054859,62274444.0,75039060.0,0.0,0.82989377,0.21585424,554.1875
6837,588.02893,1.3620713,739.38354,1.5285937,1.1673224,484.8107,0.04115496,0.013383841,0.0033278442,0.00019809464,1.6088793,1.0717627,0.98426896,0.083484925,0.4438421,0.39648995,0.6041969,0.18544884,0.00084459456,0.0,0.0,0.3493002,0.02388996,0.0,4502.5366,14108.908,43372.242,9.632846,0.023109749,0.1313475,67381150.0,71690450.0,4750.0,0.9398279,0.47116312,1799.3125
