theta_id,reward_base,activity_scale,enhance_cost_base,enhance_growth,enhance_success_scale,level_cost_base,drop_D,drop_C,drop_B,drop_A,synth_cost_scale,synth_success_scale,effect_scale,spend_low,spend_mid,spend_high,spend_whale,d90_reach_d5,d90_reach_d10,d90_reach_d15,d90_reach_d20,d90_has_B,d90_has_A,d90_has_S,d90_p50,d90_p90,d90_p99,d90_p99_p50,d90_mean_bonus,d90_p99_bonus,d90_sink,d90_inflow,d90_refund,d90_sink_ratio,d90_drop7,d90_spare_total
0,1198.2593,0.7834931,711.48944,1.4387444,0.9877449,169.68425,0.02821169,0.011990437,0.0012737595,0.00051327376,1.7151421,0.85614526,0.72113985,0.22991008,0.35567003,0.6166341,0.87837267,0.46525097,0.021838803,0.00012065637,0.0,0.18291506,0.050434366,0.0,5333.8403,20504.53,58271.336,10.924837,0.02460486,0.19927257,111222400.0,126100730.0,3500.0,0.8819879,0.25591215,1206.5625
1,742.9928,1.1527878,421.69858,1.5834107,0.96044695,428.358,0.04793252,0.008569189,0.0022634503,0.00023145866,1.0683298,1.0062795,1.0001059,0.15048888,0.19637461,0.49220574,0.66560453,0.5827703,0.00084459456,0.0,0.0,0.3274614,0.034869693,0.0,6853.2275,18783.816,47069.215,6.868182,0.02637367,0.15796673,100811540.0,116431900.0,1468.75,0.86583024,0.42362452,2072.0625
2,507.55353,1.023124,642.9317,1.3471357,0.8090217,358.56073,0.013438432,0.0056802044,0.0037933341,0.0003069792,0.75996804,1.1662247,0.9198654,0.18268886,0.2583125,0.67288697,0.6381384,0.45909747,0.010376448,0.0,0.0,0.37656853,0.041264478,0.0,4783.4824,16615.441,49883.438,10.428268,0.01970143,0.15617335,60808216.0,69707090.0,156.25,0.87233704,0.19944498,866.3125
3,951.8932,1.4412835,431.7541,1.6467298,1.1181191,277.74936,0.032545876,0.014257606,0.0014913068,0.00076601445,1.2720363,0.93839103,1.1902397,0.091439486,0.41971627,0.44845206,0.8058392,0.5532095,0.0014478764,0.0,0.0,0.40588802,0.12994692,0.0,7484.1553,23510.426,77894.55,10.4079275,0.036781132,0.2499486,166577250.0,192953040.0,6875.0,0.8632738,0.4280888,2345.0625
4,906.20703,0.97797906,341.26978,1.614256,1.1620531,199.79552,0.018605798,0.0030587337,0.0031737702,0.00013964363,0.65025115,0.915012,0.89268595,0.14034972,0.39680102,0.38997847,0.7899828,0.64502895,0.025096525,0.0,0.0,0.31696427,0.018943049,0.0,6554.1533,25106.352,71720.22,10.942713,0.022232506,0.18774241,94763650.0,119738990.0,0.0,0.79141843,0.2043919,838.0625
5,639.6121,1.3582968,787.79834,1.2953409,0.7966989,458.4257,0.03771061,0.012387488,0.0021946037,0.00060453836,1.5676988,1.1896043,1.1723098,0.21911071,0.28602123,0.71280354,0.55353355,0.57058394,0.0042229732,0.00012065637,0.0,0.422056,0.09749035,0.0,5319.65,15095.146,33865.27,6.366071,0.029878817,0.19078226,118906120.0,120071490.0,43531.25,0.9899355,0.4389479,2484.8125
6,787.2844,0.8160841,503.33325,1.5086534,0.8848718,394.0546,0.023376584,0.009358609,0.0006629478,0.00068005983,1.9683428,1.107908,0.8164137,0.10257089,0.21507211,0.5462314,0.7309985,0.49046814,0.00398166,0.0,0.0,0.14599422,0.06768823,0.0,6010.459,20232.934,54813.31,9.119655,0.017632956,0.17239843,70517790.0,85805180.0,2281.25,0.8218142,0.21947394,993.5625
7,1064.8276,1.2483183,559.72534,1.3727636,1.0809267,313.37195,0.043099746,0.0066860137,0.0029545643,0.00039238558,0.9981393,0.75451726,1.0874413,0.19316007,0.3237415,0.5690499,0.9125182,0.8322876,0.03197394,0.0003619691,0.0,0.39152992,0.058638997,0.0,6826.259,21332.941,49345.62,7.2287946,0.032728255,0.2138954,165727460.0,184484110.0,3250.0,0.89831334,0.41602316,2019.5
8,1091.8221,1.051312,549.9477,1.2631692,0.9437997,245.77715,0.016602233,0.0041787378,0.0034521436,0.0007073931,0.9084787,0.8234908,1.1392169,0.11659713,0.27297014,0.358191,0.60147434,0.7912645,0.2300917,0.00832529,0.0,0.39478764,0.09604247,0.00012065637,8848.94,30601.23,82293.984,9.299869,0.026920885,0.24317226,121200100.0,158821000.0,0.0,0.7631239,0.20342664,929.0
9,849.83655,1.481944,587.2991,1.618361,1.0290016,330.39,0.036882147,0.012756143,0.0020251668,0.00024833187,1.8720635,1.0328308,0.86776316,0.20519327,0.43437493,0.73218787,0.8424177,0.38899612,0.0013272201,0.0,0.0,0.41131756,0.04657336,0.0,5689.9736,17816.402,44199.336,7.7679334,0.033334143,0.1842792,169763230.0,171849940.0,99312.5,0.98728687,0.4535473,2738.8125
10,603.7161,0.7429067,305.39514,1.410623,1.1025765,435.59296,0.021376088,0.01048897,0.00093192194,0.00017292917,1.4758325,1.138453,1.0522081,0.13046996,0.37080604,0.5019446,0.8667085,0.7364865,0.042350385,0.00060328183,0.0,0.115468144,0.016529921,0.0,4143.2036,14630.467,44246.42,10.679277,0.01570339,0.114709996,55924724.0,59902624.0,2218.75,0.9335593,0.20487452,905.3125
11,856.6499,1.1247227,765.10974,1.4988675,0.8491737,178.84216,0.04226821,0.007067726,0.0027962353,0.0004547184,0.5532419,0.97568464,0.7721626,0.21254955,0.21151166,0.5759351,0.6771833,0.21585426,0.0024131276,0.0,0.0,0.35822874,0.063223936,0.0,6067.7705,17711.693,41708.547,6.8737845,0.03084918,0.21301812,118039460.0,130394264.0,0.0,0.9052504,0.3846525,1848.75
12,991.1978,0.8567467,660.2817,1.5367067,0.7559985,297.67712,0.026540939,0.010860074,0.001113792,0.0003337644,1.3639024,0.88968116,1.0353433,0.17314115,0.23394902,0.634456,0.7176749,0.36969113,0.0025337837,0.0,0.0,0.17386584,0.032456566,0.0,6411.772,21535.61,54972.598,8.573698,0.020616192,0.15627062,96619880.0,114761540.0,843.75,0.8419125,0.25241312,1185.6875
13,555.07196,1.2765023,465.21588,1.4572653,1.1781442,382.41895,0.047435306,0.008187478,0.0025306717,0.00062141306,0.8569773,1.2244562,0.76538676,0.08521036,0.34261942,0.46198073,0.9259517,0.5516409,0.0015685328,0.0,0.0,0.41409266,0.09580116,0.00012065637,5068.8584,14080.621,48051.555,9.479758,0.029366,0.1930279,89338510.0,95446930.0,16531.25,0.9358399,0.44341215,2333.4375
14,713.9381,0.9499161,685.3518,1.6982915,1.0413172,493.0478,0.011769492,0.004560199,0.0036256753,0.00054600835,1.1579906,1.0718349,1.2233367,0.24426836,0.41615528,0.67820954,0.7516591,0.2444498,0.00096525095,0.0,0.0,0.3687259,0.06660232,0.0,5901.013,21662.43,69048.03,11.701047,0.019001098,0.17918217,72781950.0,92106680.0,125.0,0.7901908,0.16541988,698.25
