theta_id,reward_base,activity_scale,enhance_cost_base,enhance_growth,enhance_success_scale,level_cost_base,drop_D,drop_C,drop_B,drop_A,synth_cost_scale,synth_success_scale,effect_scale,spend_low,spend_mid,spend_high,spend_whale,d30_reach_d5,d30_reach_d10,d30_reach_d15,d30_reach_d20,d30_has_B,d30_has_A,d30_has_S,d30_p50,d30_p90,d30_p99,d30_p99_p50,d30_mean_bonus,d30_p99_bonus,d30_sink,d30_inflow,d30_refund,d30_sink_ratio,d30_drop7,d30_spare_total
0,1198.2593,0.7834931,711.48944,1.4387444,0.9877449,169.68425,0.02821169,0.011990437,0.0012737595,0.00051327376,1.7151421,0.85614526,0.72113985,0.22991008,0.35567003,0.6166341,0.87837267,0.2533784,0.021476833,0.0003619691,0.0,0.06044884,0.017736487,0.0,3123.933,14425.512,64248.92,20.566677,0.010008939,0.10668594,35535544.0,40681250.0,0.0,0.8735117,0.25591215,333.4375
1,742.9928,1.1527878,421.69858,1.5834107,0.96044695,428.358,0.04793252,0.008569189,0.0022634503,0.00023145866,1.0683298,1.0062795,1.0001059,0.15048888,0.19637461,0.49220574,0.66560453,0.31298262,0.005791506,0.0,0.0,0.10569498,0.010979729,0.0,3530.2637,12237.017,36704.906,10.397214,0.0123203825,0.10285625,38081660.0,37546824.0,0.0,1.0142446,0.42362452,748.5
2,507.55353,1.023124,642.9317,1.3471357,0.8090217,358.56073,0.013438432,0.0056802044,0.0037933341,0.0003069792,0.75996804,1.1662247,0.9198654,0.18268886,0.2583125,0.67288697,0.6381384,0.19220561,0.018098455,0.00048262547,0.0,0.15069981,0.012186293,0.0,2573.8801,11955.443,62598.46,24.32066,0.007937148,0.107332185,21650752.0,22516610.0,0.0,0.9615458,0.19944498,195.0625
3,951.8932,1.4412835,431.7541,1.6467298,1.1181191,277.74936,0.032545876,0.014257606,0.0014913068,0.00076601445,1.2720363,0.93839103,1.1902397,0.091439486,0.41971627,0.44845206,0.8058392,0.30333012,0.0041023167,0.0,0.0,0.13947877,0.044884168,0.0,4122.41,15193.65,50030.336,12.136186,0.016445864,0.1567511,54657400.0,60846640.0,93.75,0.89827996,0.4280888,829.25
4,906.20703,0.97797906,341.26978,1.614256,1.1620531,199.79552,0.018605798,0.0030587337,0.0031737702,0.00013964363,0.65025115,0.915012,0.89268595,0.14034972,0.39680102,0.38997847,0.7899828,0.33252898,0.02087355,0.00012065637,0.0,0.12596525,0.0061534746,0.0,3534.5454,16782.59,71265.06,20.162441,0.008571885,0.122208126,29177580.0,38469344.0,0.0,0.75846314,0.2043919,218.875
5,639.6121,1.3582968,787.79834,1.2953409,0.7966989,458.4257,0.03771061,0.012387488,0.0021946037,0.00060453836,1.5676988,1.1896043,1.1723098,0.21911071,0.28602123,0.71280354,0.55353355,0.3144305,0.010617761,0.0007239382,0.0,0.14333978,0.031129343,0.0,3090.477,10505.692,35888.086,11.612474,0.01397294,0.11914999,41837360.0,38371464.0,281.25,1.0903169,0.4389479,841.8125
6,787.2844,0.8160841,503.33325,1.5086534,0.8848718,394.0546,0.023376584,0.009358609,0.0006629478,0.00068005983,1.9683428,1.107908,0.8164137,0.10257089,0.21507211,0.5462314,0.7309985,0.22128378,0.013030888,0.00024131274,0.0,0.04379826,0.02364865,0.0,3063.5615,13703.133,59474.734,19.413591,0.0073346617,0.081928745,24835420.0,27815328.0,0.0,0.89286816,0.21947394,257.1875
7,1064.8276,1.2483183,559.72534,1.3727636,1.0809267,313.37195,0.043099746,0.0066860137,0.0029545643,0.00039238558,0.9981393,0.75451726,1.0874413,0.19316007,0.3237415,0.5690499,0.9125182,0.57516897,0.03885135,0.00084459456,0.0,0.1587838,0.020873552,0.0,3869.4944,14050.252,47342.305,12.234752,0.014544651,0.13147813,55014016.0,58791450.0,0.0,0.93574864,0.41602316,710.6875
8,1091.8221,1.051312,549.9477,1.2631692,0.9437997,245.77715,0.016602233,0.0041787378,0.0034521436,0.0007073931,0.9084787,0.8234908,1.1392169,0.11659713,0.27297014,0.358191,0.60147434,0.43339768,0.09326737,0.0060328185,0.0,0.1667471,0.033663128,0.0,4534.96,19943.205,79998.77,17.64046,0.010291385,0.1542336,34394016.0,50246490.0,0.0,0.6845059,0.20342664,227.9375
9,849.83655,1.481944,587.2991,1.618361,1.0290016,330.39,0.036882147,0.012756143,0.0020251668,0.00024833187,1.8720635,1.0328308,0.86776316,0.20519327,0.43437493,0.73218787,0.8424177,0.21500966,0.0030164092,0.0,0.0,0.13634169,0.0153233595,0.0,3437.7017,12628.404,42303.547,12.305764,0.015575951,0.1169875,55109890.0,55224612.0,1093.75,0.99790287,0.4535473,929.0
